agent_id,segment,tenure_months,monthly_contracts,retention_rate_13m,commission_rate,customer_satisfaction,cross_sell_count,complaint_count,training_hours,churned_12m,monthly_premium_10k,commission_cost_10k,cluster,cluster_segment
AG01026,At-Risk,33,1.7,74.2,32.1,3.2,1,0,1.2,1,180.0,58.0,3,At-Risk
AG01027,Stable,33,5.0,79.4,38.7,5.4,0,1,6.4,1,1522.0,589.0,2,Developing
AG01028,Developing,5,3.7,64.3,36.0,7.9,1,0,18.3,0,700.0,252.0,1,Stable
AG01029,Stable,66,8.6,89.6,41.3,7.6,2,1,3.4,0,2311.0,954.0,2,Developing
AG01030,Stable,9,3.5,76.7,38.2,6.7,1,0,15.4,0,728.0,278.0,1,Stable
AG01031,Developing,96,6.7,71.4,38.0,5.2,3,0,1.3,0,1299.0,494.0,2,Developing
AG01032,Stable,2,2.2,80.0,39.9,7.7,1,0,18.7,0,593.0,237.0,1,Stable
AG01033,At-Risk,0,0.6,60.0,26.4,6.8,0,0,19.9,1,49.0,13.0,3,At-Risk
AG01034,Stable,5,3.6,83.5,44.8,7.7,1,0,19.1,0,979.0,439.0,1,Stable
AG01035,Developing,18,3.4,70.5,30.6,6.4,0,1,13.6,0,518.0,159.0,3,At-Risk
AG01036,Stable,22,2.1,85.5,33.8,6.6,2,2,7.5,0,477.0,161.0,1,Stable
AG01037,Stable,31,6.4,86.3,37.8,5.1,1,0,7.4,0,1490.0,563.0,2,Developing
AG01038,Stable,26,4.3,78.3,43.7,7.0,0,0,10.3,0,700.0,306.0,1,Stable
AG01039,Stable,11,7.3,79.0,36.9,5.8,1,1,14.3,0,2048.0,756.0,1,Stable
AG01040,Star,36,14.4,90.5,46.9,9.0,6,0,10.9,0,2534.0,1188.0,0,Star
AG01041,Developing,2,1.9,70.0,31.1,5.3,0,2,22.6,1,352.0,109.0,3,At-Risk
AG01042,Developing,0,0.8,56.8,37.8,6.9,0,2,22.8,0,120.0,45.0,3,At-Risk
AG01043,Developing,4,0.3,62.7,33.1,5.9,0,0,17.9,0,61.0,20.0,3,At-Risk
AG01044,Star,4,4.4,91.4,55.8,8.6,2,0,24.6,0,1451.0,810.0,1,Stable
AG01045,Stable,14,8.2,66.8,41.0,7.3,0,1,12.6,0,2030.0,832.0,1,Stable
AG01046,Stable,27,2.7,78.7,41.0,6.2,0,0,8.0,1,625.0,256.0,1,Stable
AG01047,Developing,113,0.9,62.6,37.3,6.3,1,0,3.2,0,165.0,62.0,2,Developing
AG01048,At-Risk,7,2.7,55.6,26.3,3.9,0,1,16.3,0,320.0,84.0,3,At-Risk
AG01049,Stable,27,8.7,85.1,42.8,6.6,1,2,8.0,0,1870.0,800.0,2,Developing
AG01050,Developing,4,4.3,68.5,29.6,8.4,1,2,18.2,0,768.0,227.0,1,Stable
AG01051,Stable,1,3.7,82.0,43.8,5.9,1,0,20.8,0,866.0,379.0,1,Stable
AG01052,Stable,0,2.4,76.6,39.0,6.7,1,1,22.4,1,645.0,252.0,1,Stable
AG01053,Stable,38,7.2,88.4,34.3,6.7,0,0,2.2,0,1867.0,640.0,2,Developing
AG01054,Stable,117,3.0,78.9,40.8,7.9,4,1,2.0,1,720.0,294.0,2,Developing
AG01055,Developing,81,2.5,65.1,35.1,2.9,0,1,0.0,1,484.0,170.0,3,At-Risk
AG01056,At-Risk,17,1.9,77.4,33.2,3.9,1,2,11.0,1,241.0,80.0,3,At-Risk
AG01057,Stable,1,1.9,74.0,44.6,7.2,1,1,21.9,0,392.0,175.0,1,Stable
AG01058,Stable,5,3.2,76.1,34.0,7.6,1,1,17.6,0,766.0,260.0,1,Stable
AG01059,Developing,47,2.8,67.1,36.1,6.5,1,0,6.2,0,467.0,169.0,2,Developing
AG01060,At-Risk,7,0.0,54.6,27.0,2.7,0,2,17.6,0,0.0,0.0,3,At-Risk
AG01061,Developing,26,6.4,62.5,33.1,5.2,1,2,4.5,0,1068.0,354.0,3,At-Risk
AG01062,Stable,10,5.3,73.3,39.9,6.6,2,0,17.6,1,1171.0,467.0,1,Stable
AG01063,Developing,21,3.4,67.1,31.3,7.3,0,3,10.8,0,525.0,164.0,3,At-Risk
AG01064,Stable,48,8.0,83.2,32.5,7.5,3,0,3.6,0,1951.0,634.0,2,Developing
AG01065,At-Risk,17,0.1,59.0,29.2,2.6,1,5,10.9,1,11.0,3.0,3,At-Risk
AG01066,Stable,120,8.9,82.3,38.9,8.3,2,0,0.0,0,2450.0,953.0,2,Developing
AG01067,Developing,13,5.6,62.4,31.7,5.6,0,4,14.1,0,1277.0,405.0,3,At-Risk
AG01068,Star,13,6.5,89.2,44.1,9.2,2,0,17.9,0,2093.0,923.0,1,Stable
AG01069,Stable,19,6.5,82.4,41.5,8.3,2,1,9.7,0,1506.0,625.0,2,Developing
AG01070,At-Risk,1,0.7,45.1,27.2,2.3,0,1,19.4,1,70.0,19.0,3,At-Risk
AG01071,Developing,48,5.1,74.7,37.6,6.5,0,1,5.0,0,887.0,334.0,2,Developing
AG01072,Stable,14,7.7,77.1,38.7,5.4,2,0,15.6,0,2422.0,937.0,1,Stable
AG01073,At-Risk,35,3.4,41.5,31.5,3.5,0,5,8.8,1,385.0,121.0,3,At-Risk
AG01074,At-Risk,23,1.1,52.2,33.1,4.0,0,1,11.3,1,110.0,36.0,3,At-Risk
AG01075,Stable,26,7.4,79.3,38.0,8.1,0,1,12.8,0,1705.0,648.0,1,Stable
AG01076,Stable,29,6.7,68.8,36.8,7.7,2,0,9.8,0,1256.0,462.0,2,Developing
AG01077,Stable,8,3.3,80.6,32.3,7.2,1,0,18.6,0,803.0,259.0,1,Stable
AG01078,Developing,47,4.7,73.0,36.0,4.9,1,3,5.0,0,806.0,290.0,3,At-Risk
AG01079,Stable,0,3.1,77.5,40.1,8.9,1,1,21.3,0,710.0,285.0,1,Stable
AG01080,Stable,2,1.7,72.4,37.2,7.3,3,0,22.7,1,645.0,240.0,1,Stable
AG01081,At-Risk,39,0.4,55.3,33.0,5.2,0,3,4.0,1,40.0,13.0,3,At-Risk
AG01082,At-Risk,81,0.9,58.2,29.5,2.4,1,4,3.5,1,100.0,30.0,3,At-Risk
AG01083,Developing,8,1.8,69.7,33.9,8.0,0,2,15.1,0,358.0,121.0,1,Stable
AG01084,At-Risk,4,0.0,41.9,33.0,4.3,0,1,19.6,0,0.0,0.0,3,At-Risk
AG01085,Developing,19,2.5,67.6,34.1,6.1,2,1,11.6,1,451.0,154.0,3,At-Risk
AG01086,Developing,4,2.4,56.1,28.6,6.7,0,0,19.3,0,282.0,81.0,3,At-Risk
AG01087,Developing,0,2.0,64.3,32.8,6.5,0,0,22.0,1,469.0,154.0,1,Stable
AG01088,Stable,20,4.6,78.9,34.3,8.1,2,1,11.8,0,1078.0,370.0,1,Stable
AG01089,Stable,3,1.1,76.8,38.2,5.9,0,1,21.0,1,214.0,82.0,1,Stable
AG01090,Stable,28,8.9,88.5,40.9,6.0,1,0,5.4,0,2239.0,916.0,2,Developing
AG01091,Developing,13,2.7,64.5,35.7,5.0,1,1,13.5,0,451.0,161.0,3,At-Risk
AG01092,Stable,79,5.2,75.2,40.7,7.0,1,0,1.9,1,1268.0,516.0,2,Developing
AG01093,Stable,24,6.0,81.2,39.3,8.6,1,0,9.7,0,1238.0,487.0,1,Stable
AG01094,Stable,36,8.7,74.4,39.6,5.2,0,0,5.6,0,2292.0,908.0,2,Developing
AG01095,Stable,18,4.3,76.6,36.6,7.5,3,0,14.0,1,1166.0,427.0,1,Stable
AG01096,Stable,31,8.4,81.2,39.5,6.9,1,0,7.4,0,2126.0,840.0,2,Developing
AG01097,Developing,49,2.2,71.6,33.3,4.2,0,0,6.6,1,346.0,115.0,3,At-Risk
AG01098,At-Risk,20,0.4,59.7,25.2,7.1,0,2,8.8,0,65.0,16.0,3,At-Risk
AG01099,Stable,20,8.8,78.4,41.0,5.4,0,2,10.1,0,2112.0,866.0,2,Developing
AG01100,Star,5,7.2,92.1,46.4,7.9,0,1,20.0,0,2745.0,1274.0,1,Stable
AG01101,Stable,0,1.4,77.0,41.1,7.7,1,0,22.8,0,331.0,136.0,1,Stable
AG01102,Developing,9,4.7,72.6,35.3,6.7,2,0,13.4,0,825.0,291.0,1,Stable
AG01103,Developing,21,2.6,71.4,34.5,4.4,1,1,6.9,0,432.0,149.0,3,At-Risk
AG01104,Stable,43,9.5,81.7,42.2,8.1,1,1,4.1,0,2153.0,909.0,2,Developing
AG01105,Developing,20,4.1,77.0,35.3,2.8,1,1,11.8,1,683.0,241.0,3,At-Risk
AG01106,Stable,83,4.7,78.1,39.4,6.0,4,0,1.0,1,949.0,374.0,2,Developing
AG01107,Stable,29,7.5,84.1,41.1,6.1,1,1,8.5,0,2293.0,942.0,2,Developing
AG01108,At-Risk,52,2.7,48.5,27.2,7.0,0,1,3.0,1,381.0,104.0,3,At-Risk
AG01109,Stable,120,11.8,79.3,44.4,8.9,3,0,0.0,0,4029.0,1789.0,0,Star
AG01110,Stable,70,5.9,79.9,38.8,6.5,3,1,4.8,0,1248.0,484.0,2,Developing
AG01111,Stable,89,9.6,82.4,40.3,8.4,1,2,3.8,0,2183.0,880.0,2,Developing
AG01112,Developing,16,3.2,65.9,32.8,5.5,0,1,12.2,0,586.0,192.0,3,At-Risk
AG01113,At-Risk,5,0.0,58.3,27.7,6.0,0,3,18.3,1,0.0,0.0,3,At-Risk
AG01114,At-Risk,12,1.2,61.5,32.7,3.0,0,1,13.7,0,102.0,33.0,3,At-Risk
AG01115,Star,2,3.7,88.6,42.7,7.5,4,0,21.3,0,881.0,376.0,1,Stable
AG01116,Stable,3,1.1,79.2,40.2,5.7,1,1,22.3,0,230.0,92.0,1,Stable
AG01117,Developing,0,1.2,63.3,34.7,4.4,0,3,21.8,1,156.0,54.0,3,At-Risk
AG01118,Stable,0,3.5,80.2,42.1,7.6,2,1,22.7,0,992.0,418.0,1,Stable
AG01119,At-Risk,69,2.4,52.2,26.2,7.3,2,3,2.1,0,404.0,106.0,3,At-Risk
AG01120,Developing,104,3.6,77.0,31.9,6.1,2,1,3.1,0,719.0,229.0,2,Developing
AG01121,Stable,33,6.6,81.4,33.9,7.6,3,0,9.3,0,1399.0,474.0,2,Developing
AG01122,Developing,25,3.6,70.6,33.1,7.1,0,1,9.4,0,741.0,245.0,1,Stable
AG01123,Stable,20,6.2,81.8,43.8,8.1,3,2,11.4,0,1712.0,750.0,2,Developing
AG01124,Stable,109,9.4,79.1,46.0,8.7,4,2,4.0,0,2501.0,1150.0,2,Developing
AG01125,Stable,11,5.2,73.6,39.1,6.4,1,1,16.1,0,1270.0,497.0,1,Stable
AG01126,Stable,45,5.3,72.9,39.2,7.7,3,0,7.2,0,1595.0,625.0,2,Developing
AG01127,Developing,8,1.0,67.3,34.5,6.4,0,2,17.0,1,134.0,46.0,3,At-Risk
AG01128,Developing,8,2.7,79.8,33.2,8.7,1,0,17.0,0,519.0,172.0,1,Stable
AG01129,At-Risk,36,3.7,47.2,33.1,8.3,0,1,6.9,0,470.0,156.0,3,At-Risk
AG01130,At-Risk,43,3.1,67.4,29.6,2.2,0,2,7.1,1,311.0,92.0,3,At-Risk
AG01131,Stable,3,5.3,69.8,39.3,5.8,1,0,18.8,0,1255.0,493.0,1,Stable
AG01132,Star,32,11.8,88.4,49.7,8.1,0,0,11.3,0,3657.0,1818.0,0,Star
AG01133,Developing,30,3.2,73.2,36.5,5.2,0,0,12.3,1,502.0,183.0,1,Stable
AG01134,At-Risk,6,0.0,60.5,26.5,7.1,0,3,18.3,0,0.0,0.0,3,At-Risk
AG01135,Stable,76,5.6,89.3,39.2,3.9,1,1,0.4,1,1400.0,549.0,2,Developing
AG01136,Stable,20,4.3,68.4,38.3,6.6,4,0,10.1,0,879.0,337.0,2,Developing
AG01137,Stable,12,4.9,85.0,34.1,7.6,0,0,15.4,0,776.0,265.0,1,Stable
AG01138,Star,12,13.1,85.7,47.1,8.4,1,0,15.8,0,4180.0,1969.0,0,Star
AG01139,Developing,12,2.2,67.9,32.0,5.5,0,1,12.2,1,370.0,118.0,3,At-Risk
AG01140,Stable,1,0.8,73.5,32.8,8.9,3,0,18.4,0,232.0,76.0,1,Stable
AG01141,Developing,41,3.7,65.9,32.1,5.0,0,2,5.2,1,701.0,225.0,3,At-Risk
AG01142,Developing,88,3.5,78.5,30.7,6.9,4,1,5.7,0,712.0,219.0,2,Developing
AG01143,Developing,64,1.8,71.6,33.8,5.4,1,2,2.3,1,340.0,115.0,3,At-Risk
AG01144,Stable,13,8.3,85.0,45.5,9.1,0,0,15.4,0,1883.0,857.0,1,Stable
AG01145,Stable,37,8.7,68.9,39.7,6.8,0,0,5.7,0,2552.0,1013.0,2,Developing
AG01146,Developing,12,3.4,69.2,34.1,7.6,0,1,13.4,0,484.0,165.0,1,Stable
AG01147,Developing,4,0.7,72.3,34.4,5.6,0,0,20.0,1,127.0,44.0,1,Stable
AG01148,Stable,13,4.6,77.9,39.2,7.5,1,2,10.6,0,1089.0,427.0,1,Stable
AG01149,At-Risk,14,2.9,55.4,33.0,4.4,0,2,16.5,1,343.0,113.0,3,At-Risk
AG01150,Stable,5,3.9,85.7,38.1,8.1,1,0,19.3,0,959.0,365.0,1,Stable
AG01151,At-Risk,15,0.0,66.0,25.4,5.0,1,6,14.8,0,0.0,0.0,3,At-Risk
AG01152,Star,17,13.2,88.7,43.1,8.7,4,1,14.3,0,4901.0,2112.0,0,Star
AG01153,Stable,8,4.5,82.3,35.9,8.0,0,1,17.3,0,1160.0,416.0,1,Stable
AG01154,Stable,1,2.6,75.9,37.1,7.0,0,0,23.0,0,597.0,221.0,1,Stable
AG01155,Star,7,8.5,90.5,44.6,7.2,1,0,19.8,0,2971.0,1325.0,0,Star
AG01156,Star,61,14.4,83.5,52.0,8.9,3,0,4.8,0,3788.0,1970.0,0,Star
AG01157,Star,24,11.8,87.5,50.1,7.8,2,1,10.5,0,3920.0,1964.0,0,Star
AG01158,Stable,11,4.2,69.3,38.7,7.3,1,0,13.8,0,796.0,308.0,1,Stable
AG01159,Developing,8,0.6,74.0,28.1,7.1,0,0,16.8,0,116.0,33.0,1,Stable
AG01160,Star,30,11.8,82.8,42.3,8.0,1,1,10.4,0,3648.0,1543.0,0,Star
AG01161,Developing,6,2.4,71.9,35.8,7.5,1,1,16.6,1,382.0,137.0,1,Stable
AG01162,Developing,7,0.7,74.0,29.4,6.0,0,1,18.3,1,110.0,32.0,3,At-Risk
AG01163,Stable,52,6.6,73.6,39.6,7.1,2,0,3.4,0,1434.0,568.0,2,Developing
AG01164,Stable,17,7.4,86.3,36.5,7.0,0,0,10.7,0,1586.0,579.0,1,Stable
AG01165,At-Risk,5,0.2,54.1,37.4,5.0,1,4,20.1,1,23.0,9.0,3,At-Risk
AG01166,Developing,0,0.6,69.7,31.6,5.8,1,1,23.1,0,107.0,34.0,1,Stable
AG01167,Stable,100,4.3,79.0,43.6,6.2,2,0,0.0,1,1070.0,467.0,2,Developing
AG01168,Developing,0,1.1,70.3,30.3,6.0,0,2,19.3,0,215.0,65.0,3,At-Risk
AG01169,Star,21,7.9,88.0,44.8,9.4,2,0,11.1,0,2957.0,1325.0,0,Star
AG01170,Stable,30,5.8,79.4,39.8,7.1,2,1,7.7,0,1693.0,674.0,2,Developing
AG01171,Developing,23,2.9,65.2,34.2,5.1,0,2,12.0,1,478.0,163.0,3,At-Risk
AG01172,Stable,14,5.6,80.6,39.8,6.8,1,0,16.1,0,1248.0,497.0,1,Stable
AG01173,Developing,55,6.2,81.1,34.6,5.2,1,1,5.5,0,1156.0,400.0,2,Developing
AG01174,Stable,61,9.6,73.8,42.7,6.1,1,0,7.4,0,2364.0,1009.0,2,Developing
AG01175,Developing,14,5.3,61.8,34.6,5.8,0,3,13.6,0,774.0,268.0,3,At-Risk
AG01176,Stable,20,7.3,81.5,38.3,8.1,0,1,12.9,0,1890.0,724.0,1,Stable
AG01177,Stable,20,5.7,77.3,38.3,7.7,1,0,9.5,0,1255.0,481.0,1,Stable
AG01178,Stable,32,5.8,81.3,43.8,9.1,0,1,4.2,0,1534.0,672.0,2,Developing
AG01179,Stable,6,3.8,75.7,35.4,7.6,0,0,17.0,0,1107.0,392.0,1,Stable
AG01180,Developing,1,2.1,69.4,37.6,5.1,0,1,20.9,0,393.0,148.0,1,Stable
AG01181,Stable,15,6.6,71.4,33.0,6.8,2,0,17.9,0,1747.0,577.0,1,Stable
AG01182,Star,3,5.5,93.9,50.9,6.8,2,1,22.6,0,1854.0,944.0,1,Stable
AG01183,Stable,18,5.5,77.2,40.4,6.6,3,0,9.4,0,1365.0,551.0,2,Developing
AG01184,Stable,45,8.6,83.3,38.0,7.2,3,0,7.0,0,1879.0,714.0,2,Developing
AG01185,Developing,17,3.2,61.3,33.9,5.7,0,1,10.3,1,419.0,142.0,3,At-Risk
AG01186,Stable,21,7.3,81.4,35.6,7.8,2,1,10.6,0,1793.0,638.0,2,Developing
AG01187,At-Risk,25,1.4,49.6,28.3,4.8,0,2,10.8,1,182.0,52.0,3,At-Risk
AG01188,Stable,38,5.9,80.1,42.2,7.0,2,0,4.2,0,1308.0,552.0,2,Developing
AG01189,Developing,23,2.2,69.0,31.2,6.9,1,2,12.7,0,414.0,129.0,3,At-Risk
AG01190,Stable,15,4.4,83.7,38.2,5.7,1,1,15.0,0,1003.0,383.0,1,Stable
AG01191,Stable,14,5.6,78.1,34.8,6.5,1,1,13.9,0,1374.0,478.0,1,Stable
AG01192,At-Risk,5,1.8,45.4,28.8,7.2,0,1,21.7,0,238.0,69.0,3,At-Risk
AG01193,At-Risk,15,0.0,53.4,34.8,6.6,0,3,11.9,1,0.0,0.0,3,At-Risk
AG01194,At-Risk,39,0.8,61.1,30.3,1.5,0,4,7.5,1,114.0,35.0,3,At-Risk
AG01195,Stable,14,4.1,79.4,44.4,6.5,0,0,13.7,1,993.0,441.0,1,Stable
AG01196,Stable,12,3.6,76.7,33.7,7.9,0,1,12.9,0,1039.0,350.0,1,Stable
AG01197,Developing,22,4.1,66.1,34.3,4.4,0,0,8.8,0,836.0,287.0,3,At-Risk
AG01198,Stable,4,2.7,83.1,37.9,5.7,0,1,23.0,0,615.0,233.0,1,Stable
AG01199,Developing,2,0.1,68.7,37.9,4.2,0,1,22.5,1,18.0,7.0,3,At-Risk
AG01200,Stable,35,7.0,81.3,33.8,7.5,1,1,8.4,0,1852.0,626.0,2,Developing
AG01201,Stable,9,5.1,76.1,39.2,7.4,0,1,14.5,0,1186.0,465.0,1,Stable
AG01202,Developing,8,1.2,70.8,34.3,8.7,2,1,17.7,0,234.0,80.0,1,Stable
AG01203,Developing,55,4.1,64.5,37.1,7.3,1,3,3.3,0,765.0,284.0,3,At-Risk
AG01204,Star,65,14.6,86.6,47.5,8.8,4,1,9.7,0,6450.0,3064.0,0,Star
AG01205,Star,18,8.6,93.2,46.6,8.8,4,0,16.9,0,2710.0,1263.0,0,Star
AG01206,Developing,26,1.2,69.5,28.3,7.0,0,1,10.6,0,171.0,48.0,3,At-Risk
AG01207,Stable,91,5.1,73.2,39.9,6.7,0,0,4.1,0,1101.0,439.0,2,Developing
AG01208,Stable,13,4.5,84.6,41.0,6.6,0,0,13.5,0,1227.0,503.0,1,Stable
AG01209,Stable,53,5.8,76.5,40.2,6.5,2,0,5.2,0,1541.0,619.0,2,Developing
AG01210,Developing,35,3.4,78.2,34.6,5.7,0,0,9.7,0,504.0,174.0,1,Stable
AG01211,Developing,80,6.6,62.6,34.5,6.8,0,1,3.6,0,1123.0,387.0,2,Developing
AG01212,Stable,6,1.7,78.9,42.3,7.3,1,0,15.9,0,387.0,164.0,1,Stable
AG01213,Stable,44,7.0,91.8,38.5,8.3,1,0,7.7,0,930.0,358.0,2,Developing
AG01214,Stable,4,6.3,82.3,33.4,8.4,1,0,17.6,0,1840.0,615.0,1,Stable
AG01215,Stable,44,8.0,88.1,40.5,6.1,2,1,5.1,0,2233.0,904.0,2,Developing
AG01216,Stable,10,4.1,76.2,37.7,7.0,0,0,14.2,0,1202.0,453.0,1,Stable
AG01217,Stable,1,1.0,82.9,32.6,3.5,0,1,16.0,1,295.0,96.0,3,At-Risk
AG01218,Developing,47,2.7,65.0,31.9,5.1,0,1,5.2,1,475.0,152.0,3,At-Risk
AG01219,Star,1,6.1,99.0,48.4,7.8,5,1,28.5,0,1953.0,945.0,0,Star
AG01220,Star,50,12.3,97.0,43.4,8.1,4,0,8.1,0,3961.0,1719.0,0,Star
AG01221,Stable,5,2.3,78.6,35.0,7.3,1,0,24.2,0,576.0,202.0,1,Stable
AG01222,At-Risk,22,0.0,65.6,33.7,3.7,0,4,9.7,1,0.0,0.0,3,At-Risk
AG01223,Developing,0,1.4,72.2,31.9,5.5,0,0,22.4,0,222.0,71.0,1,Stable
AG01224,Stable,2,0.0,79.7,35.9,7.8,0,2,20.2,0,0.0,0.0,1,Stable
AG01225,At-Risk,7,0.3,53.9,20.5,4.2,0,1,17.1,1,37.0,8.0,3,At-Risk
AG01226,Stable,12,3.6,89.2,43.2,8.8,0,0,14.9,0,658.0,284.0,1,Stable
AG01227,Stable,5,2.6,77.0,40.3,3.5,0,0,21.3,1,663.0,267.0,1,Stable
AG01228,At-Risk,3,0.0,62.8,26.4,7.9,0,2,18.0,0,0.0,0.0,3,At-Risk
AG01229,Star,4,5.9,89.8,42.6,9.5,1,0,21.9,0,2005.0,854.0,1,Stable
AG01230,Stable,17,3.2,79.4,37.7,6.1,1,0,13.1,0,746.0,281.0,1,Stable
AG01231,Stable,1,2.3,73.0,39.5,7.3,1,0,23.7,0,507.0,200.0,1,Stable
AG01232,Stable,64,5.1,84.8,34.5,5.6,2,0,0.0,0,1015.0,350.0,2,Developing
AG01233,Developing,66,3.3,70.8,35.1,5.9,0,0,0.5,0,485.0,170.0,2,Developing
AG01234,Stable,1,5.4,74.8,36.3,7.4,0,2,21.3,0,1141.0,414.0,1,Stable
AG01235,Star,33,13.1,94.3,45.7,10.0,0,0,12.3,0,5164.0,2360.0,0,Star
AG01236,Stable,30,6.5,84.9,40.5,7.8,2,1,6.8,0,1297.0,525.0,2,Developing
AG01237,Stable,21,10.8,71.2,39.4,5.9,0,0,11.7,0,3102.0,1222.0,2,Developing
AG01238,Stable,7,2.7,81.4,36.7,7.3,1,1,20.9,0,788.0,289.0,1,Stable
AG01239,Stable,21,7.7,76.3,38.8,6.0,0,1,10.4,0,1711.0,664.0,1,Stable
AG01240,At-Risk,51,0.0,53.4,31.7,1.0,1,1,3.9,1,0.0,0.0,3,At-Risk
AG01241,Stable,9,4.1,82.5,39.4,8.6,0,0,16.7,0,1213.0,478.0,1,Stable
AG01242,Stable,41,5.2,79.9,39.7,7.4,2,0,6.0,0,1320.0,524.0,2,Developing
AG01243,Star,16,9.8,84.8,49.6,9.4,0,1,15.8,0,3202.0,1588.0,0,Star
AG01244,Stable,59,5.8,77.6,43.0,5.9,1,0,3.3,1,1769.0,761.0,2,Developing
AG01245,Stable,25,5.9,77.7,40.0,6.0,1,1,8.5,0,1607.0,643.0,2,Developing
AG01246,Developing,46,4.3,71.0,32.0,4.9,1,1,2.9,1,442.0,141.0,3,At-Risk
AG01247,Stable,80,6.4,76.3,42.9,7.6,5,1,3.9,0,1752.0,752.0,2,Developing
AG01248,At-Risk,15,2.0,48.0,33.0,4.6,0,2,10.6,0,207.0,68.0,3,At-Risk
AG01249,At-Risk,30,2.1,44.3,32.3,1.5,1,0,6.1,1,240.0,78.0,3,At-Risk
AG01250,Star,94,12.9,85.3,52.3,10.0,10,0,3.0,0,4247.0,2221.0,0,Star
AG01251,Stable,120,6.8,85.0,48.1,8.6,1,0,1.5,0,1762.0,848.0,2,Developing
AG01252,Stable,22,6.2,74.3,41.4,6.4,0,0,10.0,0,1382.0,572.0,1,Stable
AG01253,Developing,76,5.0,76.6,35.7,4.7,2,0,0.6,0,1126.0,402.0,2,Developing
AG01254,Stable,12,7.1,77.7,43.7,6.8,0,0,13.6,0,1423.0,622.0,1,Stable
AG01255,At-Risk,13,0.7,50.1,31.2,2.6,0,1,14.0,1,100.0,31.0,3,At-Risk
AG01256,Developing,74,3.6,65.7,34.6,4.9,1,1,0.0,0,814.0,282.0,2,Developing
AG01257,Developing,26,2.3,66.5,35.2,6.3,1,1,7.3,0,362.0,127.0,3,At-Risk
AG01258,Stable,47,8.0,81.8,37.9,6.4,4,0,8.4,0,2061.0,781.0,2,Developing
AG01259,At-Risk,12,1.0,43.9,32.7,7.0,1,1,12.7,0,128.0,42.0,3,At-Risk
AG01260,Star,43,12.2,91.1,49.3,7.9,0,0,9.8,0,4499.0,2218.0,0,Star
AG01261,Stable,51,7.5,88.2,35.3,8.8,1,0,3.4,0,1848.0,652.0,2,Developing
AG01262,Stable,13,5.9,79.1,38.1,5.3,1,0,14.0,0,2050.0,781.0,1,Stable
AG01263,At-Risk,19,0.8,70.5,30.7,4.7,0,1,9.5,0,95.0,29.0,3,At-Risk
AG01264,Stable,10,3.5,77.7,37.7,8.5,0,0,11.4,0,973.0,367.0,1,Stable
AG01265,Developing,58,5.2,66.4,35.1,5.5,0,1,2.9,0,734.0,258.0,2,Developing
AG01266,Stable,32,2.2,81.2,43.7,6.8,1,0,8.2,0,480.0,210.0,1,Stable
AG01267,At-Risk,4,0.0,56.8,19.6,1.0,0,4,20.3,1,0.0,0.0,3,At-Risk
AG01268,Stable,83,5.6,70.2,38.1,7.1,0,3,2.9,0,1382.0,527.0,2,Developing
AG01269,Stable,28,8.3,73.7,38.9,6.9,2,0,6.7,0,1960.0,762.0,2,Developing
AG01270,At-Risk,13,0.4,53.3,34.3,3.4,0,3,15.5,1,40.0,14.0,3,At-Risk
AG01271,Stable,26,5.5,77.8,40.3,7.4,1,0,7.3,0,1367.0,551.0,2,Developing
AG01272,Stable,6,3.7,75.0,38.6,6.5,0,1,16.3,0,743.0,287.0,1,Stable
AG01273,Stable,10,3.8,70.9,37.9,8.3,1,1,13.2,0,1079.0,409.0,1,Stable
AG01274,Stable,52,7.1,84.5,41.2,8.3,3,2,3.4,0,1670.0,688.0,2,Developing
AG01275,Stable,10,4.8,80.2,41.7,6.2,2,0,14.6,0,1318.0,550.0,1,Stable
AG01276,Stable,105,7.1,81.4,47.0,7.9,3,0,2.8,0,1614.0,759.0,2,Developing
AG01277,Stable,7,3.4,75.2,38.4,6.8,1,0,14.2,0,799.0,307.0,1,Stable
AG01278,At-Risk,60,0.8,69.1,27.1,8.6,0,2,2.7,0,83.0,22.0,3,At-Risk
AG01279,Stable,61,5.1,80.7,38.1,7.3,2,0,2.0,0,1388.0,529.0,2,Developing
AG01280,Stable,34,7.0,82.4,44.0,8.7,0,1,7.7,0,1206.0,531.0,2,Developing
AG01281,Stable,6,4.2,77.2,35.0,6.5,1,1,18.2,0,1205.0,422.0,1,Stable
AG01282,Stable,12,2.8,81.3,43.9,8.1,1,1,12.1,0,854.0,375.0,1,Stable
AG01283,Developing,20,4.5,67.3,34.0,6.1,0,0,11.7,0,987.0,336.0,1,Stable
AG01284,At-Risk,41,3.2,44.6,31.0,2.8,0,5,5.5,0,393.0,122.0,3,At-Risk
AG01285,At-Risk,108,3.7,54.7,33.2,6.3,1,1,3.8,0,445.0,148.0,2,Developing
AG01286,Stable,31,7.2,75.8,43.3,7.7,1,1,6.2,0,2192.0,949.0,2,Developing
AG01287,Stable,32,7.7,80.3,43.8,7.0,2,0,8.5,0,1723.0,755.0,2,Developing
AG01288,Stable,42,10.6,85.7,41.8,7.6,2,1,7.2,0,2770.0,1158.0,0,Star
AG01289,Stable,16,5.0,85.4,32.3,7.4,1,1,12.4,0,1166.0,377.0,1,Stable
AG01290,Stable,6,2.2,85.2,35.1,6.0,3,0,21.8,0,427.0,150.0,1,Stable
